id,name,phase,aircraft_category,section,source,notes
ae-1.1,Performance calculation,preflight,aeroplane,1,Opinion 01/2025 App.2 §1.1,
ae-1.2,Aeroplane external visual inspection; location of each item and purpose of inspection,preflight,aeroplane,1,Opinion 01/2025 App.2 §1.2,
ae-1.3,Cockpit inspection,preflight,aeroplane,1,Opinion 01/2025 App.2 §1.3,
ae-1.4,"Use of checklist prior to starting engines, starting procedures, radio and navigation equipment check, selection and setting of navigation and communication frequencies",preflight,aeroplane,1,Opinion 01/2025 App.2 §1.4,
ae-1.5,Taxiing in compliance with ATC instructions or instructions of instructor,preflight,aeroplane,1,Opinion 01/2025 App.2 §1.5,
ae-1.6,Before take-off checks,preflight,aeroplane,1,Opinion 01/2025 App.2 §1.6,
ae-2.1,"Normal take-offs with different flap settings, including expedited take-off",takeoff,aeroplane,2,Opinion 01/2025 App.2 §2.1,
ae-2.2,Instrument take-off; transition to instrument flight is required during rotation or immediately after becoming airborne,takeoff,aeroplane,2,Opinion 01/2025 App.2 §2.2,
ae-2.3,Crosswind take-off,takeoff,aeroplane,2,Opinion 01/2025 App.2 §2.3,
ae-2.4,Take-off at maximum take-off mass (actual or simulated maximum take-off mass),takeoff,aeroplane,2,Opinion 01/2025 App.2 §2.4,
ae-2.5.1,Take-offs with simulated engine failure shortly after reaching V2,takeoff,aeroplane,2,Opinion 01/2025 App.2 §2.5.1,
ae-2.5.2,Take-offs with simulated engine failure between V1 and V2,takeoff,aeroplane,2,Opinion 01/2025 App.2 §2.5.2,
ae-2.6,Rejected take-off at a reasonable speed before reaching V1,takeoff,aeroplane,2,Opinion 01/2025 App.2 §2.6,
ae-3.1,"Manual flight with and without flight directors (no autopilot, no autothrust/autothrottle, and at different control laws, where applicable)",flight,aeroplane,3,Opinion 01/2025 App.2 §3.1,
ae-3.1.1,At different speeds (including slow flight) and altitudes within the FSTD training envelope,flight,aeroplane,3,Opinion 01/2025 App.2 §3.1.1,
ae-3.1.2,"Steep turns using 45° bank, 180° to 360° left and right",flight,aeroplane,3,Opinion 01/2025 App.2 §3.1.2,
ae-3.1.3,Turns with and without spoilers,flight,aeroplane,3,Opinion 01/2025 App.2 §3.1.3,
ae-3.1.4,"Procedural instrument flying and manoeuvring including instrument departure and arrival, and visual approach",flight,aeroplane,3,Opinion 01/2025 App.2 §3.1.4,
ae-3.2,"Tuck under and Mach buffets (if applicable), and other specific flight characteristics of the aeroplane (e.g. Dutch Roll)",flight,aeroplane,3,Opinion 01/2025 App.2 §3.2,
ae-3.3,Normal operation of systems and controls engineer's panel (if applicable),flight,aeroplane,3,Opinion 01/2025 App.2 §3.3,
ae-3.4.0,Engine (if necessary propeller),systems,aeroplane,3.4,Opinion 01/2025 App.2 §3.4.0,
ae-3.4.1,Pressurisation and air conditioning,systems,aeroplane,3.4,Opinion 01/2025 App.2 §3.4.1,
ae-3.4.2,Pitot/static system,systems,aeroplane,3.4,Opinion 01/2025 App.2 §3.4.2,
ae-3.4.3,Fuel system,systems,aeroplane,3.4,Opinion 01/2025 App.2 §3.4.3,
ae-3.4.4,Electrical system,systems,aeroplane,3.4,Opinion 01/2025 App.2 §3.4.4,
ae-3.4.5,Hydraulic system,systems,aeroplane,3.4,Opinion 01/2025 App.2 §3.4.5,
ae-3.4.6,Flight control and trim system,systems,aeroplane,3.4,Opinion 01/2025 App.2 §3.4.6,
ae-3.4.7,"Anti-icing/de-icing system, glare shield heating",systems,aeroplane,3.4,Opinion 01/2025 App.2 §3.4.7,
ae-3.4.8,Autopilot/flight director,systems,aeroplane,3.4,Opinion 01/2025 App.2 §3.4.8,
ae-3.4.9,"Stall warning devices or stall avoidance devices, and stability augmentation devices",systems,aeroplane,3.4,Opinion 01/2025 App.2 §3.4.9,
ae-3.4.10,"Ground proximity warning system, weather radar, radio altimeter, transponder",systems,aeroplane,3.4,Opinion 01/2025 App.2 §3.4.10,
ae-3.4.11,"Radios, navigation equipment, instruments, FMS",systems,aeroplane,3.4,Opinion 01/2025 App.2 §3.4.11,
ae-3.4.12,Landing gear and brake,systems,aeroplane,3.4,Opinion 01/2025 App.2 §3.4.12,
ae-3.4.13,Slat and flap system,systems,aeroplane,3.4,Opinion 01/2025 App.2 §3.4.13,
ae-3.4.14,Auxiliary power unit (APU),systems,aeroplane,3.4,Opinion 01/2025 App.2 §3.4.14,
ae-3.6.1,"Fire drills e.g. engine, APU, cabin, cargo compartment, flight deck, wing and electrical fires including evacuation",emergency,aeroplane,3.6,Opinion 01/2025 App.2 §3.6.1,
ae-3.6.2,Smoke control and removal,emergency,aeroplane,3.6,Opinion 01/2025 App.2 §3.6.2,
ae-3.6.3,"Engine failures, shutdown and restart at a safe height",emergency,aeroplane,3.6,Opinion 01/2025 App.2 §3.6.3,
